inning,over,ball,batting_team,bowling_team,batter,bowler,city,venue,phase,current_score,balls_bowled,balls_remaining,wickets_lost,current_run_rate,runs_last_6,runs_last_12,wkts_last_12,striker_runs,striker_balls,striker_sr,batter_avg_runs,bowler_wickets,bowler_economy
2,8,5,3,1,432,347,10,16,1,53,52,68,4,6.115384615384616,5.0,10.0,0.0,8,8,100.0,1.0,1,4.8
1,10,1,8,18,501,234,23,14,1,72,59,61,1,7.322033898305084,4.0,9.0,0.0,23,23,100.0,1.0,1,5.0
1,15,2,4,18,470,396,20,17,0,130,92,28,5,8.478260869565217,7.0,10.0,1.0,7,5,140.0,1.4,3,9.473684210526317
2,15,2,0,10,64,346,26,56,0,134,94,26,3,8.553191489361703,9.0,16.0,1.0,1,2,50.0,0.5,1,10.105263157894738
2,14,6,13,8,328,22,23,14,1,127,90,30,4,8.466666666666667,15.0,23.0,0.0,28,26,107.6923076923077,1.0769230769230769,0,8.08695652173913
1,17,4,18,8,363,29,0,50,0,121,106,14,2,6.849056603773584,5.0,18.0,0.0,51,37,137.83783783783784,1.3783783783783785,0,6.0
2,10,2,8,18,501,462,23,14,1,76,61,59,1,7.475409836065574,8.0,15.0,0.0,31,21,147.61904761904762,1.4761904761904765,1,8.76923076923077
1,0,1,16,0,428,125,30,30,2,0,0,120,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0
1,13,3,8,18,250,234,16,42,1,76,82,38,3,5.560975609756098,8.0,17.0,0.0,18,22,81.81818181818183,0.8181818181818182,1,6.0
2,11,4,13,0,100,173,30,30,1,86,74,46,4,6.972972972972973,9.0,14.0,1.0,28,27,103.7037037037037,1.037037037037037,0,11.6
2,15,1,3,4,261,135,10,16,0,116,90,30,4,7.733333333333333,17.0,28.0,0.0,44,36,122.22222222222224,1.2222222222222223,3,4.0
1,0,1,16,11,124,71,2,23,2,0,0,120,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0
2,0,3,18,4,147,333,10,16,2,4,2,118,0,12.0,4.0,4.0,0.0,4,2,200.0,2.0,0,12.0
2,18,2,13,2,571,211,0,57,0,95,110,10,6,5.181818181818183,2.0,7.0,1.0,53,46,115.21739130434784,1.1521739130434785,1,5.368421052631579
1,1,7,8,10,637,256,28,10,2,12,12,108,0,6.0,8.0,12.0,0.0,9,10,90.0,0.9,0,8.0
1,4,5,10,2,477,224,26,6,2,43,28,92,0,9.214285714285714,15.0,24.0,0.0,24,16,150.0,1.5,0,16.5
2,18,5,9,0,371,489,24,4,0,172,119,1,2,8.672268907563026,8.0,16.0,1.0,5,6,83.33333333333334,0.8333333333333334,0,8.75
2,11,3,18,4,147,58,20,17,1,89,69,51,2,7.739130434782608,5.0,16.0,0.0,38,35,108.57142857142856,1.0857142857142856,0,10.5
2,16,2,8,15,39,57,30,30,0,119,102,18,5,7.0,4.0,8.0,2.0,3,5,60.0,0.6,0,4.153846153846154
2,5,5,16,18,629,71,16,42,2,77,35,85,4,13.2,11.0,27.0,2.0,38,18,211.11111111111111,2.111111111111111,1,19.8
2,0,2,3,8,194,167,13,22,2,0,1,119,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0
1,9,2,8,0,149,118,23,14,1,57,56,64,4,6.107142857142857,2.0,8.0,2.0,1,3,33.33333333333333,0.3333333333333333,2,5.142857142857142
1,4,3,3,8,173,444,10,16,2,41,26,94,1,9.461538461538462,1.0,21.0,1.0,1,4,25.0,0.25,0,0.0
1,7,6,1,16,177,333,26,9,1,34,49,71,4,4.163265306122449,7.0,7.0,1.0,5,8,62.5,0.625,2,4.956521739130435
2,19,5,16,10,8,105,26,9,0,143,124,-4,9,6.919354838709677,5.0,13.0,2.0,0,1,0.0,0.0,1,6.521739130434782
2,1,1,0,8,352,441,23,14,2,7,6,114,0,7.0,7.0,7.0,0.0,1,2,50.0,0.5,0,0.0
2,4,6,6,0,431,353,7,40,2,49,30,90,0,9.8,15.0,28.0,0.0,30,17,176.47058823529412,1.7647058823529411,0,9.666666666666666
2,6,6,16,8,629,346,2,23,1,74,44,76,2,10.090909090909092,18.0,23.0,0.0,28,18,155.55555555555557,1.5555555555555556,1,8.181818181818182
2,15,2,3,13,466,135,1,44,0,94,95,25,8,5.936842105263158,4.0,8.0,2.0,1,1,100.0,1.0,1,3.692307692307693
1,2,4,0,7,546,384,22,33,2,11,15,105,1,4.4,2.0,7.0,1.0,0,0,0.0,0.0,1,6.666666666666667
1,19,3,10,6,319,59,7,40,0,163,116,4,2,8.431034482758621,10.0,16.0,1.0,68,54,125.92592592592592,1.2592592592592593,0,7.428571428571429
2,3,1,6,0,123,353,0,50,2,31,18,102,1,10.333333333333334,17.0,28.0,1.0,12,8,150.0,1.5,0,0.0
2,5,2,9,0,289,128,24,4,2,47,32,88,0,8.8125,11.0,22.0,0.0,27,15,180.0,1.8,0,8.76923076923077
1,9,3,0,13,102,57,8,27,1,55,57,63,2,5.789473684210527,5.0,10.0,0.0,35,31,112.90322580645164,1.1290322580645162,1,6.428571428571428
1,5,1,12,10,343,488,30,31,2,53,32,88,0,9.9375,17.0,23.0,0.0,33,18,183.3333333333333,1.8333333333333333,0,0.0
2,12,1,16,10,30,436,2,23,1,95,82,38,3,6.951219512195122,18.0,34.0,1.0,19,5,380.0,3.8,0,2.0
1,2,2,3,7,631,384,22,33,2,4,14,106,2,1.7142857142857142,0.0,3.0,2.0,0,1,0.0,0.0,0,3.0
2,8,2,18,2,300,42,0,50,1,59,52,68,3,6.807692307692308,6.0,9.0,0.0,10,11,90.9090909090909,0.9090909090909092,0,6.0
2,9,2,5,9,376,305,26,56,1,64,57,63,2,6.7368421052631575,9.0,17.0,0.0,20,21,95.23809523809524,0.9523809523809524,0,8.571428571428571
2,5,4,15,10,50,192,26,55,2,41,33,87,0,7.454545454545454,10.0,23.0,0.0,27,16,168.75,1.6875,0,5.6
2,17,6,13,10,108,192,1,44,0,121,113,7,7,6.424778761061948,11.0,19.0,0.0,28,27,103.7037037037037,1.037037037037037,0,4.5
2,9,1,12,9,592,208,24,4,1,61,54,66,3,6.777777777777778,8.0,13.0,0.0,5,9,55.55555555555556,0.5555555555555556,1,8.0
1,16,4,3,10,669,436,26,55,0,112,99,21,5,6.787878787878788,13.0,23.0,1.0,37,35,105.71428571428572,1.0571428571428572,1,8.8
1,2,2,12,13,289,91,26,56,2,21,14,106,0,9.0,9.0,20.0,0.0,6,5,120.0,1.2,0,8.571428571428571
2,2,2,14,8,471,320,23,14,2,11,13,107,1,5.0769230769230775,4.0,11.0,1.0,0,2,0.0,0.0,0,6.0
1,3,5,13,1,454,137,16,42,2,17,22,98,1,4.636363636363637,4.0,9.0,0.0,7,9,77.77777777777779,0.7777777777777778,1,3.6
1,12,6,2,12,441,211,11,19,1,125,79,41,1,9.49367088607595,18.0,23.0,0.0,49,35,140.0,1.4,0,12.705882352941176
2,17,2,11,18,37,319,16,42,0,88,103,17,7,5.126213592233009,8.0,15.0,3.0,1,2,50.0,0.5,3,6.0
2,0,1,16,13,629,481,30,31,2,0,0,120,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0
2,12,4,3,13,512,111,10,16,1,103,79,41,1,7.822784810126582,4.0,11.0,0.0,33,33,100.0,1.0,0,6.0
1,7,2,10,16,138,52,30,31,1,52,43,77,1,7.255813953488372,5.0,13.0,1.0,5,5,100.0,1.0,0,9.428571428571429
1,15,4,8,10,637,312,26,56,0,131,96,24,5,8.1875,7.0,12.0,0.0,50,36,138.88888888888889,1.3888888888888888,3,10.235294117647058
2,8,4,8,18,194,86,10,16,1,55,50,70,2,6.6,5.0,12.0,1.0,26,25,104.0,1.04,0,8.0
2,8,3,5,12,96,374,7,39,1,72,50,70,1,8.639999999999999,9.0,14.0,0.0,11,11,100.0,1.0,0,7.5
1,16,3,3,10,571,282,10,16,0,124,102,18,3,7.294117647058823,13.0,18.0,0.0,60,49,122.44897959183672,1.2244897959183674,1,8.142857142857142
1,10,5,13,8,165,444,18,46,1,76,64,56,2,7.125,11.0,14.0,0.0,29,34,85.29411764705883,0.8529411764705882,0,13.8
1,0,1,12,16,256,150,26,6,2,0,0,120,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0
2,2,2,6,16,669,333,13,22,2,4,13,107,0,1.8461538461538465,0.0,4.0,0.0,2,5,40.0,0.4,0,2.571428571428571
1,2,3,10,0,177,94,26,55,2,5,15,105,0,2.0,0.0,5.0,0.0,3,7,42.85714285714285,0.4285714285714285,0,0.0
1,18,1,8,3,321,261,30,52,0,123,109,11,4,6.770642201834862,10.0,20.0,0.0,6,4,150.0,1.5,0,7.666666666666667
1,15,1,6,8,203,239,7,38,0,115,95,25,3,7.263157894736842,10.0,18.0,0.0,32,24,133.33333333333331,1.3333333333333333,0,8.0
1,1,4,13,2,242,443,26,56,2,9,9,111,0,6.0,9.0,9.0,0.0,8,7,114.28571428571428,1.1428571428571428,0,2.0
1,6,1,18,16,147,337,16,41,1,59,36,84,0,9.833333333333334,8.0,16.0,0.0,27,16,168.75,1.6875,0,0.0
2,8,3,8,10,471,220,0,57,1,91,51,69,1,10.705882352941176,15.0,21.0,0.0,31,21,147.61904761904762,1.4761904761904765,0,8.571428571428571
1,12,3,6,13,281,521,5,35,1,70,79,41,4,5.316455696202532,5.0,12.0,0.0,32,35,91.42857142857144,0.9142857142857144,0,5.294117647058823
2,4,1,8,0,637,489,26,56,2,25,24,96,0,6.25,10.0,17.0,0.0,8,9,88.88888888888889,0.8888888888888888,0,6.5
1,7,2,8,4,583,134,23,14,1,33,43,77,4,4.604651162790698,3.0,12.0,1.0,4,10,40.0,0.4,1,6.0
2,14,2,8,0,39,289,33,21,1,86,85,35,6,6.070588235294118,4.0,15.0,1.0,0,2,0.0,0.0,0,13.714285714285714
1,13,5,13,3,471,410,18,46,1,106,80,40,4,7.949999999999999,5.0,14.0,1.0,0,0,0.0,0.0,3,9.0
2,2,2,16,18,343,167,2,23,2,16,13,107,0,7.384615384615385,0.0,16.0,0.0,11,6,183.3333333333333,1.8333333333333333,0,0.0
2,6,1,8,1,537,421,23,14,1,26,36,84,3,4.333333333333333,3.0,5.0,1.0,4,7,57.14285714285714,0.5714285714285714,0,0.0
1,13,3,13,2,450,91,28,10,1,100,82,38,2,7.317073170731708,16.0,26.0,0.0,44,34,129.41176470588235,1.2941176470588236,1,3.375
2,2,4,16,0,203,54,3,24,2,16,15,105,2,6.4,5.0,10.0,2.0,0,2,0.0,0.0,1,4.666666666666667
1,13,6,13,3,471,410,18,46,1,106,81,39,4,7.851851851851852,5.0,13.0,1.0,0,1,0.0,0.0,3,8.608695652173912
1,13,4,16,2,203,42,3,24,1,125,83,37,3,9.036144578313252,8.0,18.0,1.0,23,12,191.66666666666669,1.9166666666666667,0,7.2
1,7,1,17,18,629,460,16,43,1,65,42,78,2,9.285714285714286,4.0,14.0,1.0,34,21,161.9047619047619,1.619047619047619,0,2.0
2,5,2,13,3,50,320,10,16,2,37,31,89,1,7.161290322580645,2.0,14.0,1.0,26,19,136.8421052631579,1.368421052631579,0,9.230769230769232
1,2,3,1,8,32,22,23,14,2,10,16,104,0,3.75,3.0,6.0,0.0,2,7,28.57142857142857,0.2857142857142857,0,3.75
2,2,1,13,6,661,73,18,46,2,13,15,105,1,5.2,6.0,12.0,1.0,1,3,33.33333333333333,0.3333333333333333,0,5.142857142857142
1,13,5,1,16,477,229,5,35,1,130,83,37,3,9.397590361445785,5.0,24.0,1.0,30,19,157.89473684210526,1.5789473684210529,1,5.4
1,2,5,8,16,501,161,2,23,2,23,18,102,0,7.666666666666667,8.0,16.0,0.0,12,12,100.0,1.0,0,4.5
2,10,3,18,10,512,347,16,42,1,62,63,57,2,5.904761904761905,3.0,8.0,0.0,29,27,107.40740740740742,1.0740740740740742,0,4.714285714285714
2,0,2,16,0,614,181,8,27,2,1,1,119,0,6.0,1.0,1.0,0.0,0,0,0.0,0.0,0,6.0
1,16,6,4,14,282,136,30,30,0,146,103,17,6,8.504854368932039,7.0,11.0,1.0,18,18,100.0,1.0,1,9.333333333333334
2,6,4,13,1,454,167,16,42,1,37,41,79,1,5.414634146341464,6.0,8.0,1.0,13,19,68.42105263157895,0.6842105263157895,0,3.75
1,16,3,0,2,470,483,26,56,0,145,100,20,6,8.7,8.0,16.0,2.0,12,7,171.42857142857142,1.7142857142857142,1,5.142857142857142
1,9,4,8,16,501,522,23,14,1,72,58,62,0,7.448275862068966,7.0,12.0,0.0,31,24,129.16666666666669,1.2916666666666667,0,4.0
1,19,6,3,15,125,319,35,11,0,115,121,-1,6,5.702479338842975,17.0,24.0,1.0,32,21,152.38095238095238,1.5238095238095235,0,7.411764705882352
2,10,2,12,13,343,285,12,13,1,107,67,53,0,9.582089552238806,13.0,28.0,0.0,58,38,152.63157894736844,1.5263157894736843,0,6.0
1,16,7,0,8,374,444,26,56,0,166,105,15,2,9.485714285714286,17.0,28.0,1.0,5,2,250.0,2.5,1,8.5
1,5,5,10,9,115,220,8,28,2,60,34,86,2,10.588235294117649,20.0,26.0,1.0,22,8,275.0,2.75,0,13.125
2,17,5,17,8,282,165,23,15,0,189,109,11,7,10.40366972477064,7.0,9.0,1.0,13,10,130.0,1.3,2,8.181818181818182
1,7,1,6,8,282,174,23,14,1,41,44,76,2,5.590909090909091,1.0,6.0,1.0,1,3,33.33333333333333,0.3333333333333333,1,5.0
2,10,2,10,13,154,435,26,9,1,59,64,56,2,5.53125,11.0,16.0,1.0,0,0,0.0,0.0,1,0.0
1,7,4,6,3,542,39,11,18,1,52,48,72,1,6.5,9.0,14.0,0.0,5,6,83.33333333333334,0.8333333333333334,0,12.0
1,15,2,1,13,477,521,1,44,0,106,95,25,6,6.694736842105263,3.0,7.0,1.0,29,21,138.0952380952381,1.380952380952381,0,6.0
1,12,2,3,16,565,287,10,0,1,102,76,44,2,8.052631578947368,9.0,18.0,0.0,27,31,87.09677419354838,0.8709677419354839,0,5.4
2,8,6,8,13,108,435,5,35,1,63,58,62,2,6.517241379310345,7.0,19.0,1.0,0,1,0.0,0.0,1,4.0
2,16,2,5,13,467,353,18,47,0,139,100,20,5,8.34,7.0,23.0,1.0,4,3,133.33333333333331,1.3333333333333333,0,7.894736842105264
1,12,1,10,16,568,229,26,9,1,88,76,44,4,6.947368421052632,4.0,7.0,0.0,3,7,42.85714285714285,0.4285714285714285,1,5.5
1,14,4,10,4,64,199,26,55,1,80,90,30,5,5.333333333333333,2.0,4.0,1.0,14,12,116.66666666666669,1.1666666666666667,0,6.0
2,5,5,10,8,503,444,28,10,2,34,34,86,2,6.0,2.0,12.0,1.0,0,2,0.0,0.0,0,3.0
2,1,7,6,13,340,94,30,30,2,14,11,109,1,7.636363636363637,9.0,14.0,1.0,12,9,133.33333333333331,1.3333333333333333,0,9.0
1,13,6,13,16,467,161,26,56,1,115,86,34,5,8.023255813953488,11.0,23.0,1.0,6,2,300.0,3.0,1,13.0
2,7,5,10,1,261,163,6,53,1,54,47,73,2,6.893617021276596,9.0,19.0,0.0,20,19,105.26315789473684,1.0526315789473684,0,6.6
1,2,3,1,10,281,162,26,55,2,2,14,106,1,0.8571428571428571,1.0,2.0,0.0,2,9,22.22222222222222,0.2222222222222222,0,0.0
2,4,2,13,10,415,190,26,55,2,24,25,95,2,5.76,12.0,15.0,0.0,1,2,50.0,0.5,0,6.0
2,4,4,0,3,365,39,13,22,2,52,28,92,0,11.142857142857142,17.0,26.0,0.0,32,15,213.33333333333331,2.1333333333333333,0,16.0
2,8,1,16,18,425,405,16,41,1,36,48,72,6,4.5,1.0,6.0,3.0,1,3,33.33333333333333,0.3333333333333333,0,0.0
2,9,1,10,2,669,42,26,55,1,69,55,65,3,7.527272727272727,7.0,16.0,0.0,8,11,72.72727272727273,0.7272727272727273,0,0.0
2,9,1,16,7,30,371,22,33,1,80,60,60,2,8.0,12.0,17.0,0.0,13,12,108.33333333333331,1.0833333333333333,0,13.0
2,12,2,0,16,366,350,34,49,1,106,75,45,2,8.48,15.0,26.0,0.0,17,13,130.76923076923077,1.3076923076923077,0,10.615384615384617
1,18,2,2,12,433,321,11,19,0,178,112,8,2,9.535714285714285,12.0,23.0,0.0,11,8,137.5,1.375,0,10.736842105263158
1,8,1,8,6,102,346,29,51,1,36,50,70,1,4.319999999999999,6.0,8.0,0.0,7,22,31.818181818181817,0.3181818181818182,0,2.0
1,17,3,16,0,379,118,3,25,0,166,105,15,4,9.485714285714286,7.0,20.0,0.0,16,10,160.0,1.6,1,5.142857142857142
1,16,8,5,12,435,211,28,10,0,112,108,12,6,6.222222222222222,3.0,13.0,2.0,0,2,0.0,0.0,3,9.157894736842106
2,0,5,0,6,546,278,26,55,2,6,4,116,1,9.0,6.0,6.0,1.0,4,1,400.0,4.0,1,9.0
1,17,1,0,13,374,265,26,6,0,126,106,14,4,7.132075471698113,6.0,9.0,0.0,14,21,66.66666666666666,0.6666666666666666,0,7.333333333333333
2,14,1,13,6,571,438,18,46,1,118,86,34,2,8.232558139534884,7.0,12.0,1.0,16,17,94.11764705882352,0.9411764705882352,0,15.5
2,3,6,2,16,50,303,0,50,2,33,23,97,1,8.608695652173912,7.0,14.0,0.0,2,5,40.0,0.4,1,7.090909090909091
2,0,1,8,3,373,171,23,14,2,0,0,120,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0
1,5,4,0,6,546,66,11,18,2,24,34,86,2,4.235294117647059,4.0,7.0,1.0,1,6,16.666666666666664,0.1666666666666666,0,0.0
2,4,1,6,3,173,8,10,16,2,26,24,96,0,6.5,13.0,15.0,0.0,16,13,123.07692307692308,1.2307692307692308,0,0.0
2,3,2,10,1,563,384,13,22,2,14,22,98,1,3.8181818181818175,5.0,10.0,1.0,5,6,83.33333333333334,0.8333333333333334,1,2.571428571428571
1,11,5,0,12,577,374,8,28,1,78,71,49,3,6.591549295774648,3.0,8.0,1.0,7,10,70.0,0.7,1,3.75
1,14,1,5,13,213,353,26,10,1,114,85,35,3,8.047058823529412,13.0,27.0,0.0,51,35,145.7142857142857,1.457142857142857,0,5.5
1,4,1,0,8,352,444,8,27,2,31,24,96,0,7.75,14.0,25.0,0.0,23,18,127.77777777777776,1.2777777777777777,0,0.0
1,5,4,8,13,15,231,23,15,2,45,33,87,1,8.181818181818182,14.0,24.0,0.0,14,6,233.33333333333331,2.333333333333333,0,10.0
2,4,1,2,18,441,71,35,11,2,32,24,96,0,8.0,7.0,20.0,0.0,18,16,112.5,1.125,0,10.0
1,3,5,8,1,102,384,19,34,2,24,22,98,0,6.545454545454546,10.0,14.0,0.0,17,13,130.76923076923077,1.3076923076923077,0,8.4
1,10,3,16,4,629,371,2,23,1,78,63,57,1,7.428571428571429,9.0,19.0,0.0,33,28,117.85714285714286,1.1785714285714286,0,4.5
2,13,1,10,12,231,321,7,39,1,138,80,40,2,10.35,17.0,31.0,0.0,57,33,172.72727272727272,1.7272727272727273,1,7.5
1,7,5,10,13,530,455,18,46,1,57,47,73,1,7.276595744680852,6.0,16.0,0.0,9,14,64.28571428571429,0.6428571428571429,0,4.2
2,0,5,15,10,50,282,26,55,2,4,4,116,0,6.0,4.0,4.0,0.0,4,4,100.0,1.0,0,6.0
2,14,3,10,8,213,29,23,14,1,136,86,34,5,9.488372093023257,15.0,21.0,1.0,57,19,300.0,3.0,2,6.857142857142857
1,12,1,12,2,258,42,26,6,1,85,73,47,4,6.986301369863014,4.0,8.0,0.0,32,22,145.45454545454547,1.4545454545454546,1,3.5
1,16,1,10,6,249,66,26,55,0,132,97,23,3,8.164948453608247,3.0,24.0,1.0,70,45,155.55555555555557,1.5555555555555556,0,9.789473684210527
1,1,6,17,2,629,222,3,24,2,17,11,109,0,9.272727272727272,13.0,17.0,0.0,10,6,166.66666666666669,1.6666666666666667,0,8.4
2,17,1,16,11,30,28,2,23,0,139,106,14,4,7.867924528301886,11.0,21.0,1.0,7,5,140.0,1.4,1,6.666666666666667
2,1,1,16,13,141,238,12,13,2,12,6,114,0,12.0,12.0,12.0,0.0,0,0,0.0,0.0,0,0.0
1,11,3,18,0,300,447,30,30,1,85,73,47,1,6.986301369863014,18.0,28.0,0.0,28,26,107.6923076923077,1.0769230769230769,0,9.0
1,5,6,13,2,242,222,26,56,2,43,35,85,0,7.371428571428572,14.0,17.0,0.0,25,19,131.57894736842107,1.3157894736842106,0,12.0
1,17,5,18,8,386,29,0,50,0,121,107,13,3,6.785046728971963,4.0,17.0,1.0,0,0,0.0,0.0,1,4.5
1,10,1,9,18,283,500,16,43,1,57,60,60,3,5.7,8.0,12.0,1.0,22,17,129.41176470588235,1.2941176470588236,0,3.5
1,2,4,16,3,250,146,2,23,2,21,18,102,0,7.0,8.0,20.0,0.0,12,13,92.3076923076923,0.9230769230769232,0,1.3333333333333333
2,13,5,3,0,475,196,8,27,1,93,85,35,5,6.564705882352942,5.0,12.0,0.0,9,12,75.0,0.75,0,9.545454545454543
2,0,2,9,8,289,501,24,4,2,4,1,119,0,24.0,4.0,4.0,0.0,4,1,400.0,4.0,0,24.0
1,10,2,4,14,102,76,30,30,1,98,63,57,4,9.333333333333334,6.0,25.0,2.0,43,23,186.95652173913044,1.8695652173913044,0,12.857142857142856
2,4,5,10,18,231,477,26,56,2,38,29,91,0,7.862068965517242,11.0,22.0,0.0,19,11,172.72727272727272,1.7272727272727273,0,13.5
2,4,4,12,8,343,106,12,13,2,31,27,93,0,6.888888888888889,5.0,13.0,0.0,21,15,140.0,1.4,0,2.0
1,13,7,0,1,374,347,8,27,1,88,85,35,2,6.211764705882353,5.0,11.0,1.0,7,6,116.66666666666669,1.1666666666666667,1,6.0
1,3,3,8,10,122,436,26,55,2,36,24,96,0,9.0,13.0,21.0,0.0,14,14,100.0,1.0,0,7.199999999999999
2,15,3,0,16,546,333,8,27,0,131,92,28,2,8.543478260869565,12.0,15.0,0.0,27,25,108.0,1.08,0,15.857142857142856
2,17,4,3,16,331,370,29,51,0,131,109,11,4,7.2110091743119265,14.0,25.0,0.0,16,8,200.0,2.0,0,8.4
2,16,3,18,8,301,462,23,14,0,122,100,20,6,7.319999999999999,5.0,12.0,2.0,0,4,0.0,0.0,1,9.0
2,17,2,0,6,374,278,26,55,0,168,108,12,7,9.333333333333334,4.0,13.0,1.0,15,16,93.75,0.9375,1,11.7
1,0,3,8,3,102,10,19,34,2,6,2,118,0,18.0,6.0,6.0,0.0,6,2,300.0,3.0,0,18.0
2,14,2,3,18,291,275,31,48,1,99,85,35,4,6.988235294117647,13.0,25.0,0.0,20,11,181.8181818181818,1.818181818181818,0,7.7142857142857135
2,18,1,16,3,377,129,10,16,0,157,109,11,4,8.642201834862385,13.0,17.0,0.0,10,9,111.11111111111111,1.1111111111111112,0,4.666666666666667
2,5,5,13,1,313,384,29,51,2,24,35,85,3,4.114285714285715,9.0,17.0,0.0,21,19,110.5263157894737,1.105263157894737,1,2.25
2,11,2,10,2,138,239,26,56,1,75,68,52,1,6.617647058823529,12.0,30.0,0.0,24,20,120.0,1.2,0,12.0
2,18,5,0,16,239,333,2,23,0,120,118,2,6,6.101694915254237,5.0,9.0,0.0,9,16,56.25,0.5625,1,4.5
1,18,4,0,10,374,118,26,55,0,134,115,5,4,6.991304347826087,18.0,26.0,0.0,37,34,108.8235294117647,1.088235294117647,1,8.857142857142858
1,15,2,6,10,287,220,26,55,0,132,95,25,2,8.336842105263157,8.0,14.0,1.0,0,0,0.0,0.0,0,9.428571428571429
1,2,6,2,18,147,71,16,43,2,19,16,104,1,7.125,5.0,17.0,0.0,1,8,12.5,0.125,1,1.6363636363636365
1,2,1,0,13,546,471,18,46,2,10,13,107,2,4.615384615384616,5.0,10.0,1.0,0,1,0.0,0.0,2,1.0
1,6,1,6,10,542,288,7,40,1,44,37,83,1,7.135135135135135,9.0,16.0,1.0,5,2,250.0,2.5,0,7.7142857142857135
1,1,1,18,8,512,370,23,14,2,9,7,113,1,7.7142857142857135,5.0,9.0,1.0,0,0,0.0,0.0,0,0.0
1,16,7,10,3,568,8,10,16,0,174,103,17,3,10.135922330097086,9.0,18.0,0.0,45,31,145.16129032258064,1.4516129032258065,1,10.0
1,1,2,16,4,124,85,2,23,2,3,7,113,0,2.571428571428571,3.0,3.0,0.0,1,4,25.0,0.25,0,0.0
2,15,5,9,18,371,477,24,4,0,120,99,21,5,7.272727272727272,2.0,6.0,2.0,9,13,69.23076923076923,0.6923076923076923,0,6.0
2,1,1,6,1,495,384,9,2,2,9,6,114,0,9.0,9.0,9.0,0.0,8,3,266.66666666666663,2.6666666666666665,0,0.0
2,13,6,3,0,147,262,19,34,1,108,83,37,3,7.80722891566265,12.0,29.0,0.0,46,35,131.42857142857142,1.3142857142857145,0,7.411764705882352
2,13,1,16,8,124,191,2,23,1,110,83,37,2,7.951807228915662,6.0,15.0,0.0,50,34,147.05882352941177,1.4705882352941178,0,3.5
1,4,7,16,8,141,464,34,49,2,48,31,89,0,9.29032258064516,12.0,24.0,0.0,20,17,117.64705882352942,1.1764705882352942,0,10.153846153846157
1,6,6,10,8,477,492,9,2,1,39,44,76,2,5.318181818181818,6.0,7.0,1.0,1,5,20.0,0.2,0,6.6
1,3,6,8,3,194,502,30,52,2,27,24,96,0,6.75,8.0,13.0,0.0,14,8,175.0,1.75,0,8.4
2,0,3,16,13,232,471,18,46,2,0,2,118,0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,0.0
1,14,1,13,12,660,164,12,13,1,136,87,33,3,9.379310344827584,14.0,20.0,0.0,49,34,144.11764705882354,1.4411764705882353,0,6.5
1,10,1,10,0,319,353,26,5,1,79,59,61,1,8.033898305084746,10.0,19.0,1.0,35,25,140.0,1.4,0,5.454545454545455
1,9,5,18,16,252,522,0,57,1,75,61,59,1,7.377049180327869,10.0,15.0,0.0,32,26,123.07692307692308,1.2307692307692308,0,6.6
